date,paradigm,dataset,model,preprocessing,eval_type,split_type,accuracy,balanced_accuracy,f1_macro,kappa,mcc,roc_auc,pr_auc,n_subjects,n_classes,seed,notes
2026-03-21,MotorImagery,BCICompIV2a,CSPLDAModel,none,intra_subject,fixed_split,0.8103,0.8103,0.8087,0.7471,0.7506,,,1,4,42,Test dataset
2026-03-22,MotorImagery,BCICompIV2a,ShallowConvNet,"EOG regression removal (channels 22,23,24)",intra_subject,fixed_split,0.2931,0.2931,0.2298,0.0575,0.0769,,,9,4,42,ShallowConvNet + EOG removal on BCI2a.
